Doc_ID,Title,FinBERT_Label,Source
1,spicejet to issue 6.4 crore warrants to promoters,neutral,SEntFiN
2,mmtc q2 net loss at rs 10.4 crore,neutral,SEntFiN
3,"mid-cap funds can deliver more, stay put: experts",positive,SEntFiN
4,mid caps now turn into market darlings,positive,SEntFiN
5,"market seeing patience, if not conviction: prakash diwan",neutral,SEntFiN
6,infosys: will the strong volume growth sustain?,neutral,SEntFiN
7,hudco raises rs 279 cr via tax-free bonds,positive,SEntFiN
8,hoec could retest 30-35 levels: ashwani gujral,neutral,SEntFiN
9,gold shines on seasonal demand; silver dull,positive,SEntFiN
10,genpact appoints edward j fitzpatrick as cfo,neutral,SEntFiN
11,"exl beats profit estimates, cuts sales outlook",positive,SEntFiN
12,wait and watch on bharti airtel: vinay khattar,neutral,SEntFiN
13,"would stick to banking: girish pai, centrum broking",positive,SEntFiN
14,msci adds aurobindo pharma to india index,positive,SEntFiN
15,ashok leyland raises rs 667 crore through qip,positive,SEntFiN
16,"at wipro, growth remains a mirage",negative,SEntFiN
17,why chinese stocks leave us investors vulnerable,negative,SEntFiN
18,us stocks finish mixed amid more tech selling,negative,SEntFiN
19,opec reduces estimate on oil demand growth,negative,SEntFiN
20,oil prices mixed ahead of us supply report,neutral,SEntFiN
21,makemytrip expands share sale plan,neutral,SEntFiN
22,gur closes quiet on some support,neutral,SEntFiN
23,gur closes steady on low demand,neutral,SEntFiN
24,gur closes steady on thin trade,neutral,SEntFiN
25,gur remains flat in tight movements,neutral,SEntFiN
26,popularising g-secs among retail investors,neutral,SEntFiN
27,gold trades nearly flat on dull demand,neutral,SEntFiN
28,zee announces closure of share buyback programme,neutral,SEntFiN
29,zee q2 net at rs 216.3 cr,neutral,SEntFiN
30,china to start yuan trading on tuesday,neutral,SEntFiN
31,bse inks strategic partnership with yes bank,neutral,SEntFiN
32,yes bank launches sovereign gold bond,neutral,SEntFiN
33,"yen firms in asia on iraq, ukraine jitters",neutral,SEntFiN
34,billionaire's stake shakes woolworth's buyout of david jones,neutral,SEntFiN
35,wonderla holidays ipo subscribed 42% on day 1,neutral,SEntFiN
36,wonderla holidays ipo subscribed 98% on second day,neutral,SEntFiN
37,wns appoints ronald gillette as chief operating officer,neutral,SEntFiN
38,strong deals crucial for wipro's growth push,neutral,SEntFiN
39,ten key takeaways from wipro q1 results,neutral,SEntFiN
40,whirlpool may head to around 450-475: devang visaria,neutral,SEntFiN
41,western coalfields cmd d c garg passes away,neutral,SEntFiN
42,vrl logistics ipo grey market premium at 38%,neutral,SEntFiN
43,"ipo after tax row is settled, says vodafone",neutral,SEntFiN
44,vodafone gets ready for ipo of indian arm,neutral,SEntFiN
45,vmware appoints arun parameswaran as india md,neutral,SEntFiN
46,videocon d2h likely to bring ipo this fiscal,neutral,SEntFiN
47,videocon appoints sanjeev bakshi as coo,neutral,SEntFiN
48,viber ups marketing efforts with cmo appointment,neutral,SEntFiN
